game_id	context_id	context_name	context_weight
13	11	gaming_mood:competitive	0.463889
13	12	gaming_mood:thematic	0.00277778
13	13	gaming_mood:story-based	0.0305556
13	14	social_companion:1-player	0.00277778
13	15	social_companion:2-players	0.188889
13	16	social_companion:large-group	0.147222
13	19	social_companion:children	0.25
13	20	social_companion:family	0.716667
13	21	social_companion:friends	0.00555556
41	1	playing_time:very_short	1.0
41	2	playing_time:short	0.0232558
41	3	playing_time:moderate	0.0116279
41	4	playing_time:long	0.0116279
41	6	gaming_mood:party	0.0755814
41	7	gaming_mood:easy-going	0.80814
41	8	gaming_mood:expert	0.0174419
41	9	gaming_mood:intense	0.139535
41	11	gaming_mood:competitive	0.0232558
41	13	gaming_mood:story-based	0.00581395
41	14	social_companion:1-player	0.0174419
41	15	social_companion:2-players	0.127907
41	16	social_companion:large-group	0.0465116
41	18	social_companion:preschoolers	0.0174419
41	19	social_companion:children	0.395349
41	20	social_companion:family	0.366279
41	21	social_companion:friends	0.0174419
54	1	playing_time:very_short	0.0105263
54	4	playing_time:long	0.136842
54	5	playing_time:very_long	0.0105263
54	6	gaming_mood:party	0.0105263
54	7	gaming_mood:easy-going	0.252632
54	8	gaming_mood:expert	0.0315789
54	9	gaming_mood:intense	0.0947368
54	10	gaming_mood:cooperative	0.0210526
54	11	gaming_mood:competitive	1.0
54	12	gaming_mood:thematic	0.0210526
54	13	gaming_mood:story-based	0.0210526
54	14	social_companion:1-player	0.0315789
54	15	social_companion:2-players	0.505263
54	17	social_companion:toddlers	0.0105263
54	19	social_companion:children	0.0631579
54	20	social_companion:family	0.157895
118	1	playing_time:very_short	0.0248691
118	2	playing_time:short	0.0091623
118	3	playing_time:moderate	0.0013089
118	4	playing_time:long	0.0026178
118	6	gaming_mood:party	0.0078534
118	7	gaming_mood:easy-going	0.111257
118	8	gaming_mood:expert	0.0143979
118	9	gaming_mood:intense	0.0248691
118	10	gaming_mood:cooperative	0.0013089
118	11	gaming_mood:competitive	1.0
118	12	gaming_mood:thematic	0.0013089
118	15	social_companion:2-players	0.0052356
118	19	social_companion:children	0.0065445
118	20	social_companion:family	0.0157068
150	1	playing_time:very_short	0.18
150	2	playing_time:short	0.02
150	4	playing_time:long	0.06
150	5	playing_time:very_long	0.04
150	6	gaming_mood:party	0.32
150	7	gaming_mood:easy-going	0.72
150	8	gaming_mood:expert	0.02
150	9	gaming_mood:intense	0.06
150	10	gaming_mood:cooperative	0.02
150	11	gaming_mood:competitive	0.06
150	15	social_companion:2-players	0.02
150	16	social_companion:large-group	0.2
150	17	social_companion:toddlers	0.08
150	18	social_companion:preschoolers	0.06
150	19	social_companion:children	1.0
